Name,Quantity(per unit),Price in RMB(for 1 device),Price in USD(for 1 device),Link
EEPROM,1,6,0.78,https://item.taobao.com/item.htm?abbucket=20&id=775093823542&mi_id=0000dO6TpPbWDVeqCtfItoy0LfORtvK1qZ8tCMFR4DqmGfg&ns=1&priceTId=2100c89317863609214016558e0a2b&skuId=5303761869471&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22d270b27b600f36748ecff7ebedb7240e%22%7D&xxc=taobaoSearch
SRAM,1,3,0.39,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d953461500722.3d385886qx8CDz&id=953461500722&from=cart&mi_id=0000tmdX7izc64KOm9otOOHaXmW8HMStchW-9Hri82z4g-U&upStreamPrice=300
Z80,1,4,0.52,https://item.taobao.com/item.htm?abbucket=20&id=761285443532&mi_id=0000Rn2Mrdhv88zFJAqUclNDr3q9UqZIQOLp6R_1xgW9RjQ&ns=1&priceTId=2100c82d17863603393001084e0a6e&skuId=5248637137718&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%2228de9bf625f2d105d80d40c2ebb1ed5f%22%7D&xxc=taobaoSearch
Z80 PIO,1,5.5,0.715,https://item.taobao.com/item.htm?abbucket=20&id=723849445917&mi_id=0000lwbYODTGdjlIa8tMpyEwUXGSgDWx7ErbmokUbWoF0g4&ns=1&priceTId=2100c90f17863602164881003e0a32&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2206dac0f0070959cd0e206ad29ac31515%22%7D&xxc=taobaoSearch
Resistor 220ohm,1,1,0.13,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d538322903549.3d385886qx8CDz&id=538322903549&from=cart&mi_id=0000A1nz-XefJ3meqB9SaIpVOaXlGS6wodwLUEwmxi-cgYs&upStreamPrice=100
Resistor 10kohm,5,1,0.13,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d538322903549.3d385886qx8CDz&id=538322903549&from=cart&mi_id=0000A1nz-XefJ3meqB9SaIpVOaXlGS6wodwLUEwmxi-cgYs&upStreamPrice=100
Buttons,9,0.36,0.0468,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d542612472347.3d385886qx8CDz&id=542612472347&from=cart&mi_id=0000sO0uM1wQ69SE_-Rd7IJZwCCk894NFyCsl-qu5ZT_7nw&upStreamPrice=4
PCB,1,~3,0.39,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.5f4a2e8dZypXKm&id=624700462793&mi_id=0000s49HieLCHUEFU4d92xzDHBRW8eT3VBf37N32Qyf9RLo
Single Or Gate,2,4.8 for 20,0.624,https://item.taobao.com/item.htm?abbucket=20&id=554260533672&mi_id=0000mNxJ96uB2iWIVjxXkL2lQ4h_vAtnnY0yyIWtDyPO-eg&ns=1&priceTId=2100c87a17866955667781250e0a31&skuId=5722262286279&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%227aa0d4f1970a1f4008352090d99397d7%22%7D&xxc=taobaoSearch
Single Not Gate,1,4.2 for 20,0.546,https://item.taobao.com/item.htm?abbucket=20&id=554260533672&mi_id=0000mNxJ96uB2iWIVjxXkL2lQ4h_vAtnnY0yyIWtDyPO-eg&ns=1&priceTId=2100c87a17866955667781250e0a31&skuId=5722262286279&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%227aa0d4f1970a1f4008352090d99397d7%22%7D&xxc=taobaoSearch
